,date,account_value
0,2021-01-03,2000000.0
1,2021-01-04,1999488.0832500004
2,2021-01-05,1997262.3104500007
3,2021-01-06,1998359.5881500011
4,2021-01-07,1994615.779100001
5,2021-01-10,1996210.3351000014
6,2021-01-11,2004131.2293500013
7,2021-01-12,2010318.561600001
8,2021-01-13,2006324.750200001
9,2021-01-14,2010936.6869000015
10,2021-01-17,2004630.4660500009
11,2021-01-18,2002542.9593000007
12,2021-01-19,2002689.5463500007
13,2021-01-20,1996190.4263000004
14,2021-01-21,2001772.4553000005
15,2021-01-24,2000541.1841000004
16,2021-01-25,2004123.8531499999
17,2021-01-26,1989604.1094999998
18,2021-01-27,1984054.6921999997
19,2021-01-28,1983267.6283999996
20,2021-01-31,1976000.3846999994
21,2021-02-01,1959777.9220999992
22,2021-02-02,1947164.6451999987
23,2021-02-03,1946054.3544499986
24,2021-02-04,1956791.1873499984
25,2021-02-07,1932718.5960999983
26,2021-02-08,1915021.6858499981
27,2021-02-09,1935803.4154999976
28,2021-02-10,1949756.0598999977
29,2021-02-11,1941355.5547499976
30,2021-02-14,1952190.2940499978
31,2021-02-15,1973858.5523999976
32,2021-02-16,1959282.1608999977
33,2021-02-17,1952266.8967999977
34,2021-02-18,1949670.6386499978
35,2021-02-22,1921638.0281499978
36,2021-02-23,1900305.9572999973
37,2021-02-24,1917383.6847999974
38,2021-02-25,1920661.2471499979
39,2021-02-28,1913507.6978499973
40,2021-03-01,1926043.1629999976
41,2021-03-02,1959430.1377999978
42,2021-03-03,1950503.9574499973
43,2021-03-04,1948251.7284999976
44,2021-03-07,1962548.9325499972
45,2021-03-08,1984961.4114999976
46,2021-03-09,1987546.7958999975
47,2021-03-10,1985848.2874999978
48,2021-03-11,1975765.3758999975
49,2021-03-14,1965954.454499998
50,2021-03-15,1965253.1280999978
51,2021-03-16,1973688.901699998
52,2021-03-18,1954260.4399999978
53,2021-03-21,1920988.5912999974
54,2021-03-22,1939586.1009999977
55,2021-03-23,1941677.9046999977
56,2021-03-24,1918957.9225999978
57,2021-03-25,1928250.2440499978
58,2021-03-28,1926453.8452999976
59,2021-03-29,1930640.240049998
60,2021-03-31,1907330.5287499977
61,2021-04-01,1909621.2414499975
62,2021-04-04,1857285.3405499982
63,2021-04-05,1887110.6096499974
64,2021-04-06,1905707.3615499977
65,2021-04-07,1918877.4956499974
66,2021-04-08,1901449.3832499976
67,2021-04-11,1874552.6173499976
68,2021-04-12,1879130.5464499975
69,2021-04-13,1901576.7790499977
70,2021-04-15,1912574.9072499976
71,2021-04-18,1911591.0110499982
72,2021-04-19,1921442.8097499977
73,2021-04-20,1952694.9237499977
74,2021-04-21,1958796.6929999979
75,2021-04-22,1958238.7929999975
76,2021-04-25,1983270.7929999975
77,2021-04-26,1975959.7929999975
78,2021-04-27,1956504.4929999975
79,2021-04-28,1967735.1929999979
80,2021-04-29,1964434.9929999975
81,2021-05-02,1953254.9929999975
82,2021-05-03,1942503.9929999977
83,2021-05-04,1939961.8929999978
84,2021-05-05,1939302.1929999976
85,2021-05-06,1945561.1929999976
86,2021-05-09,1960484.2929999975
87,2021-05-11,1967469.4929999977
88,2021-05-12,1969538.1929999976
89,2021-05-16,1976291.7929999977
90,2021-05-17,1979499.992999998
91,2021-05-18,1974351.5929999978
92,2021-05-19,1961427.8929999976
93,2021-05-20,1952138.8929999978
94,2021-05-23,1941160.6929999974
95,2021-05-24,1947370.2929999975
96,2021-05-25,1946925.6929999976
97,2021-05-27,1956656.8929999978
98,2021-05-30,1951547.8929999974
99,2021-05-31,1950817.4929999975
100,2021-06-01,1956205.1929999976
101,2021-06-02,1952404.3929999978
102,2021-06-03,1953994.2929999977
103,2021-06-06,1966493.3929999976
104,2021-06-07,1965595.0929999975
105,2021-06-08,1959862.6929999976
106,2021-06-09,1956072.4929999977
107,2021-06-10,1956803.8929999974
108,2021-06-13,1950445.0929999975
109,2021-06-14,1941085.8929999974
110,2021-06-15,1939048.9929999977
111,2021-06-16,1945262.0929999975
112,2021-06-17,1959260.2929999975
113,2021-06-20,1968912.4929999975
114,2021-06-21,1975481.8929999976
115,2021-06-22,1968382.5929999973
116,2021-06-23,1960196.4929999975
117,2021-06-24,1960165.6929999976
118,2021-06-27,1943105.2929999977
119,2021-06-28,1953524.9929999977
120,2021-06-29,1957385.5929999975
121,2021-06-30,1964182.5929999978
122,2021-07-05,1971658.6929999979
123,2021-07-06,1971087.6929999976
124,2021-07-07,1978735.8929999976
125,2021-07-08,1996781.8929999976
126,2021-07-12,2010463.7929999975
127,2021-07-13,2023462.5929999973
128,2021-07-14,2020323.9929999977
129,2021-07-15,2021718.9929999977
130,2021-07-18,2064768.8929999976
131,2021-07-19,2060209.3929999978
132,2021-07-25,2057530.1929999976
133,2021-07-26,2044452.5929999975
134,2021-07-27,2039936.3929999974
135,2021-07-28,2037704.2929999975
136,2021-07-29,2037954.7929999975
137,2021-08-02,2042577.9929999975
138,2021-08-03,2071025.5929999975
139,2021-08-05,2100014.6929999976
140,2021-08-09,2115776.2929999977
141,2021-08-10,2109240.8929999974
142,2021-08-11,2108493.992999998
143,2021-08-12,2125902.592999998
144,2021-08-16,2144407.2929999977
145,2021-08-17,2127789.592999998
146,2021-08-18,2131612.2929999977
147,2021-08-19,2119086.292999998
148,2021-08-22,2128963.2929999973
149,2021-08-23,2148211.2929999977
150,2021-08-24,2169598.892999998
151,2021-08-25,2168482.6929999976
152,2021-08-26,2162692.592999998
153,2021-08-29,2154144.992999998
154,2021-08-31,2141809.592999998
155,2021-09-01,2149430.292999998
156,2021-09-02,2177491.5929999975
157,2021-09-05,2210049.0929999975
158,2021-09-06,2216364.992999998
159,2021-09-07,2237175.892999998
160,2021-09-08,2267748.792999998
161,2021-09-09,2306995.2929999977
162,2021-09-12,2313032.7929999977
163,2021-09-13,2311182.892999998
164,2021-09-14,2278152.692999998
165,2021-09-15,2305418.392999998
166,2021-09-16,2311488.192999998
