date,a2c,ddpg,td3,ppo,sac,mvo
2021-01-03,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2053987.9158004432
2021-01-04,1999488.0832500004,1996560.8599999996,1999254.8799999997,2000523.44065,1999718.3219499998,2047058.2758899264
2021-01-05,1997262.3104500007,1989943.32,1994019.945,1997670.9810000001,1995255.2374499994,2027858.4324536999
2021-01-06,1998359.5881500011,1984787.375,1986145.5006000001,1994602.3151,1991481.4450999997,2015981.121415495
2021-01-07,1994615.779100001,1971552.25,1963958.0319999997,1988610.04785,1987546.2661499993,2002719.2369967832
2021-01-10,1996210.3351000014,1972039.9034,1974374.9943000001,1991863.5201000003,1990602.4674999996,2010868.5820254216
2021-01-11,2004131.2293500013,2000723.02725,1989228.2282499997,1997026.8594500003,2000811.8539999998,2032415.5746045713
2021-01-12,2010318.561600001,2031337.9826500001,1998755.7282500002,2004690.5768000009,2018886.1819999996,2062233.9716749522
2021-01-13,2006324.750200001,2028506.7156,2028796.1282499998,2032753.4451000006,2043429.8123000003,2085956.0756313428
2021-01-14,2010936.6869000015,2081164.4737,2054335.3282499998,2068617.4551500008,2089421.6027000002,2131549.212518939
2021-01-17,2004630.4660500009,2125961.0059,2024900.62825,2051216.3497500005,2099942.73265,2160546.155236498
2021-01-18,2002542.9593000007,2096049.4059,2020984.82825,2046771.917900001,2077337.70085,2134176.0148482844
2021-01-19,2002689.5463500007,2077815.7059000002,2001871.52825,2024821.0881500007,2064581.17495,2123355.250767187
2021-01-20,1996190.4263000004,2068855.4059000004,2001024.52825,2016939.1890000005,2057485.9241,2116172.35604815
2021-01-21,2001772.4553000005,2061986.3059,2003331.2282500002,2018070.3165500003,2059940.2715,2118683.848273575
2021-01-24,2000541.1841000004,2053710.5059,1993627.4282499999,2019749.9397500008,2057442.3373,2107459.109397295
2021-01-25,2004123.8531499999,2044129.4059000001,1995622.02825,2008377.7734000008,2055103.6721999997,2106587.7338582324
2021-01-26,1989604.1094999998,2032389.8059000003,1992716.4282499999,2017025.5762500004,2076848.31575,2133613.602846095
2021-01-27,1984054.6921999997,2038162.9059000001,1996543.9282499999,2026012.846600001,2103960.31655,2164728.8326482587
2021-01-28,1983267.6283999996,2034056.7059,2004581.3282499998,2032592.0647000005,2111610.37975,2172085.3229421936
2021-01-31,1976000.3846999994,2015296.4059000001,2006040.3282499998,2027810.2833000002,2093406.8037499997,2149955.9995187894
2021-02-01,1959777.9220999992,1989386.3059000003,1997266.12825,2011193.9026000004,2060573.13065,2109621.263052702
2021-02-02,1947164.6451999987,1987170.1059000003,1994435.9282499999,2015012.0468000006,2066571.8964500001,2113579.824369732
2021-02-03,1946054.3544499986,1981047.0059000002,1998868.8282499998,2017531.0790500005,2089206.2729,2146674.479042297
2021-02-04,1956791.1873499984,1992870.9059000001,2044724.62825,2069140.9446000003,2142389.3488999996,2207008.696887698
2021-02-07,1932718.5960999983,1977218.0059,2039515.02825,2069129.9897500006,2113838.7381499996,2164233.007798163
2021-02-08,1915021.6858499981,1951228.3059000003,2003386.32825,2024984.4798500007,2064417.9608500001,2102885.9415998384
2021-02-09,1935803.4154999976,1988974.0059000002,2016441.6282499998,2035023.614050001,2078717.7608500002,2122781.2124440838
2021-02-10,1949756.0598999977,2005765.8059,2028555.2282500002,2058241.7132000006,2100846.06085,2144163.231275839
2021-02-11,1941355.5547499976,1992495.9059000001,2077846.7282500002,2116740.6289500003,2169114.16085,2223509.320174586
2021-02-14,1952190.2940499978,2040132.2059000002,2123764.22825,2211893.3066000007,2205468.56085,2229839.85813504
2021-02-15,1973858.5523999976,2050610.3059,2139903.3282500003,2225006.189750001,2200090.7995,2222186.173581064
2021-02-16,1959282.1608999977,2051109.5059,2109571.8282500003,2192666.7798000006,2203018.56565,2237548.793588874
