,date,account_value
0,2021-01-01,2000000.0
1,2021-01-04,2008024.0137443752
2,2021-01-05,2006035.61451812
3,2021-01-06,1989359.0709112207
4,2021-01-07,1980799.3188650475
5,2021-01-08,2009192.7149178963
6,2021-01-11,2031464.9912373086
7,2021-01-12,2020134.054989132
8,2021-01-13,2018212.7818323786
9,2021-01-14,2017066.6918944514
10,2021-01-15,1978833.1560341304
11,2021-01-18,1971295.5050318167
12,2021-01-19,1987671.385129229
13,2021-01-20,2017841.6699608176
14,2021-01-21,2001548.4899334528
15,2021-01-22,1964276.00686385
16,2021-01-25,1945087.264748337
17,2021-01-27,1945828.7567314627
18,2021-01-28,1927761.682318163
19,2021-01-29,1890271.3598541738
20,2021-02-01,1921245.4176315786
21,2021-02-02,1952400.8464378836
22,2021-02-03,1990317.8655380728
23,2021-02-04,1978616.164137316
24,2021-02-05,1964927.887258959
25,2021-02-08,2012064.7581047537
26,2021-02-09,2010403.0589928152
27,2021-02-10,2011585.9934105398
28,2021-02-11,2024462.5872444632
29,2021-02-12,2018997.0814346792
30,2021-02-15,2009617.8136543753
31,2021-02-16,2022138.7967552664
32,2021-02-17,2015792.221128893
33,2021-02-18,2037908.7268471243
34,2021-02-19,2014447.1686234
35,2021-02-22,1953694.2357773306
36,2021-02-23,1963198.3143105032
37,2021-02-24,1994188.9209007742
38,2021-02-25,2003082.5918640615
39,2021-02-26,1935715.5767197134
40,2021-03-01,1969097.4835724356
41,2021-03-02,2010793.4929146292
42,2021-03-03,2040026.4580711843
43,2021-03-04,2020951.244478655
44,2021-03-05,2008702.7814087393
45,2021-03-08,2018367.1205048086
46,2021-03-09,2035095.9735054495
47,2021-03-10,2061991.314566088
48,2021-03-12,2050297.5096611502
49,2021-03-15,2071217.5945457937
50,2021-03-16,2071764.5839676382
51,2021-03-17,2046092.259890032
52,2021-03-18,2017835.7146820547
53,2021-03-19,2020623.6661629202
54,2021-03-22,2048263.579584551
55,2021-03-23,2062290.941706133
56,2021-03-24,2022364.6215424063
57,2021-03-25,1976565.8264297964
58,2021-03-26,2022407.470789385
59,2021-03-30,2070490.1039909841
60,2021-03-31,2043462.3034996511
61,2021-04-01,2061579.8260139944
62,2021-04-05,2055588.829119158
63,2021-04-06,2051633.1043266775
64,2021-04-07,2060761.87143178
65,2021-04-08,2107513.282457781
66,2021-04-09,2134283.5010857107
67,2021-04-12,2066189.575891924
68,2021-04-13,2046731.299898577
69,2021-04-15,2044482.4769844534
70,2021-04-16,2067906.1148018362
71,2021-04-19,2035506.6023582937
72,2021-04-20,2021754.9571785452
73,2021-04-22,1997652.3399528982
74,2021-04-23,1970520.8275856497
75,2021-04-26,1993841.909006548
76,2021-04-27,2021834.1202263357
77,2021-04-28,2034298.5900902273
78,2021-04-29,2036765.2167534353
79,2021-04-30,2007156.752039385
80,2021-05-03,1994240.520929766
81,2021-05-04,1983799.5962242605
82,2021-05-05,1994027.351358843
83,2021-05-06,2023677.2076363089
84,2021-05-07,2035187.4009117605
85,2021-05-10,2059193.9462379934
86,2021-05-11,2036631.1691612722
87,2021-05-12,2018338.8497108938
88,2021-05-14,2006333.1652626516
89,2021-05-17,2016437.3798775198
90,2021-05-18,2060940.2282890799
91,2021-05-19,2058907.160356951
92,2021-05-20,2049986.9409431936
93,2021-05-21,2066185.1131767752
94,2021-05-24,2064475.4208702566
95,2021-05-25,2083295.8985085012
96,2021-05-26,2104628.152506304
97,2021-05-27,2121933.1723579885
98,2021-05-28,2136348.1775764944
99,2021-05-31,2148036.3250450613
100,2021-06-01,2162830.8212608816
101,2021-06-02,2158840.5865196707
102,2021-06-03,2191008.8030266287
103,2021-06-04,2200035.200991106
104,2021-06-07,2219190.4432014944
105,2021-06-08,2248262.8926338675
106,2021-06-09,2234960.933252764
107,2021-06-10,2253695.857645464
