,a2c,ddpg,td3,ppo,sac,mvo
2021-01-04,2008024.0137443752,2012064.052088837,2026042.5193258286,2001073.990327347,2015433.2019547045,2028232.2629392615
2021-01-05,2006035.61451812,2016126.2338877262,2036472.1359438784,2001624.4208151018,2023737.4609381927,2043788.326766922
2021-01-06,1989359.0709112207,2009321.49467569,2017323.1323342745,2000302.8036276249,2020688.7123696348,2033297.522726503
2021-01-07,1980799.3188650475,1998233.1040354313,2001814.7106652681,1999231.0075538869,2008394.006760527,2007537.9136637042
2021-01-08,2009192.7149178963,2061321.9003611149,2049434.9749398653,2008675.7392755125,2063491.0107661306,2039046.622573955
2021-01-11,2031464.9912373086,2095414.0859842838,2096601.6243539278,2017418.7795207896,2093577.9344104102,2069408.394348269
2021-01-12,2020134.054989132,2084302.1493540348,2091126.7981820528,2020184.1072034452,2100611.024493136,2052900.1521454256
2021-01-13,2018212.7818323786,2082342.4337931217,2090465.9030328218,2019464.8284400778,2093383.7708882468,2039332.6441519388
2021-01-14,2017066.6918944514,2082709.62358194,2103477.1044183196,2021791.714314635,2135144.469466128,2045775.4200942272
2021-01-15,1978833.1560341304,2050377.6589365543,2080547.2832055513,2016805.539564925,2119595.9262761255,2013035.9534025113
2021-01-18,1971295.5050318167,2019691.758576447,2060757.0126595919,2005331.1251979205,2104337.1027096887,2002417.013053281
2021-01-19,1987671.385129229,2044850.9799814762,2088619.797258896,2018994.1492508075,2131824.0974652884,2024734.8113524679
2021-01-20,2017841.6699608176,2078228.515580231,2108108.6929803314,2030979.105672408,2163980.8780639116,2032827.1997806744
2021-01-21,2001548.4899334528,2066395.206925446,2109542.7736459197,2030763.9341136157,2153950.9496914083,2022811.7236769896
2021-01-22,1964276.00686385,2050610.4380655827,2165989.8558450164,2047507.9902807376,2156786.5708843404,2012605.4161555828
2021-01-25,1945087.264748337,2040425.996201569,2164209.67775206,2043355.422230803,2137339.929141634,2005581.7173965333
2021-01-27,1945828.7567314627,2014331.7877054752,2151939.3615670623,2024896.346923323,2108542.3160036337,1970786.0243851102
2021-01-28,1927761.682318163,1977012.8691874088,2115441.7290826263,2009664.830327849,2072386.8941318076,1934271.8473705726
2021-01-29,1890271.3598541738,1918671.0922403873,2064913.2723565523,1970047.6236848817,2022669.1251054252,1901385.7067951239
2021-02-01,1921245.4176315786,1975863.8166056217,2096025.3119378511,2014360.9888923173,2048326.0831931403,1943689.5313344935
2021-02-02,1952400.8464378836,2016966.8176432194,2137428.886683029,2060492.7745710358,2090714.346062937,1976967.6105033332
2021-02-03,1990317.8655380728,2027449.1361246647,2150371.504793686,2078427.29409841,2099234.063191691,2003066.2730491897
2021-02-04,1978616.164137316,2031482.2037211002,2151861.5962548675,2074546.142323645,2093590.9042256263,2005552.822999415
2021-02-05,1964927.887258959,2015582.366715485,2154919.8035149993,2063672.5795932563,2082111.786084452,2022467.380005945
2021-02-08,2012064.7581047537,2042073.6990213932,2175389.7393746795,2088367.5557696482,2118729.992989817,2031877.072651839
2021-02-09,2010403.0589928152,2049961.037583405,2148557.264078659,2075469.370209643,2101049.397340098,2023076.071273839
