,date,account_value
0,2019-01-02,2000000.0
1,2019-01-03,1999168.3675000002
2,2019-01-04,2001628.6326850005
3,2019-01-07,2003474.7988400005
4,2019-01-08,2003743.5745550008
5,2019-01-09,2003922.5045750004
6,2019-01-10,2005955.3850200004
7,2019-01-11,2005454.0446550008
8,2019-01-14,2004316.3488850005
9,2019-01-15,2005379.2631600003
10,2019-01-16,2009151.3974449998
11,2019-01-17,2012279.032275
12,2019-01-18,2015890.7741599993
13,2019-01-22,2005180.0448349994
14,2019-01-23,2005577.266789999
15,2019-01-24,2009535.3639499992
16,2019-01-25,2014226.978604999
17,2019-01-28,2007188.1361099984
18,2019-01-29,2003384.890129998
19,2019-01-30,2014426.2493199976
20,2019-01-31,2036705.5374999978
21,2019-02-01,2033144.1282649976
22,2019-02-04,2038725.3433999973
23,2019-02-05,2049995.831284997
24,2019-02-06,2046029.9137699972
25,2019-02-07,2031337.0884999968
26,2019-02-08,2019782.3267249973
27,2019-02-11,2026195.896814997
28,2019-02-12,2043951.4978099968
29,2019-02-13,2055988.221424997
30,2019-02-14,2041078.617199997
31,2019-02-15,2051377.4611649967
32,2019-02-19,2053855.0187299969
33,2019-02-20,2055708.6172999968
34,2019-02-21,2048898.247509997
35,2019-02-22,2061099.7076049973
36,2019-02-25,2082420.0831349972
37,2019-02-26,2077387.2822949965
38,2019-02-27,2090706.409214997
39,2019-02-28,2073164.6506399969
40,2019-03-01,2078569.8067199967
41,2019-03-04,2086963.6750049968
42,2019-03-05,2066059.720699997
43,2019-03-06,2028666.1850299966
44,2019-03-07,2022407.7339549966
45,2019-03-08,2028682.6737949965
46,2019-03-11,2067676.8837149963
47,2019-03-12,2065843.3895899963
48,2019-03-13,2090705.3747749962
49,2019-03-14,2097347.8407899966
50,2019-03-15,2100112.678834996
51,2019-03-18,2119944.719044997
52,2019-03-19,2117363.274639996
53,2019-03-20,2106039.1699449965
54,2019-03-21,2119315.6216199966
55,2019-03-22,2061710.3045249963
56,2019-03-25,2052749.4854399965
57,2019-03-26,2081152.2973149966
58,2019-03-27,2066055.6762899964
59,2019-03-28,2068217.4398699964
60,2019-03-29,2080341.8060049964
61,2019-04-01,2119962.306744997
62,2019-04-02,2125714.698579996
63,2019-04-03,2128029.8045749962
64,2019-04-04,2130664.3475699965
65,2019-04-05,2135424.6858799965
66,2019-04-08,2114543.1841599965
67,2019-04-09,2086299.794189996
68,2019-04-10,2089556.7669499964
69,2019-04-11,2093240.6377599968
70,2019-04-12,2106130.667624997
71,2019-04-15,2096126.3179649967
72,2019-04-16,2123029.0256199962
73,2019-04-17,2132304.963174996
74,2019-04-18,2145589.8995449967
75,2019-04-22,2151869.7559449966
76,2019-04-23,2167675.633139997
77,2019-04-24,2165542.4810049967
78,2019-04-25,2117145.8431699965
79,2019-04-26,2134970.1124799964
80,2019-04-29,2133380.4911299963
81,2019-04-30,2156186.4589149966
82,2019-05-01,2136264.986304996
83,2019-05-02,2139246.344994996
84,2019-05-03,2180852.4585999963
85,2019-05-06,2165518.7706199964
86,2019-05-07,2123570.3763699965
87,2019-05-08,2113034.0877299956
88,2019-05-09,2088129.8374849963
89,2019-05-10,2100805.127029996
90,2019-05-13,2038684.6006899967
91,2019-05-14,2081332.5539499964
92,2019-05-15,2087182.3249599964
93,2019-05-16,2093535.3747449967
94,2019-05-17,2066789.7475149967
95,2019-05-20,2050561.6605949968
96,2019-05-21,2067504.601749996
97,2019-05-22,2062843.6622599964
98,2019-05-23,2017961.1250449964
99,2019-05-24,2021039.7516349962
100,2019-05-28,1999275.506639997
101,2019-05-29,1997045.0943599965
102,2019-05-30,2004357.5665549964
103,2019-05-31,1980228.4404249967
104,2019-06-03,1966359.0196849962
105,2019-06-04,2035113.1551149962
106,2019-06-05,2032889.7776599964
107,2019-06-06,2040706.3708099965
108,2019-06-07,2064647.7645299966
109,2019-06-10,2094169.6577499968
110,2019-06-11,2099410.371969996
111,2019-06-12,2102574.4881799966
112,2019-06-13,2109873.8793449965
113,2019-06-14,2100795.0781949963
114,2019-06-17,2083204.4872549966
115,2019-06-18,2133776.2419199967
116,2019-06-19,2126810.292404996
117,2019-06-20,2157447.4355149963
118,2019-06-21,2142674.744544996
119,2019-06-24,2126597.9389649965
120,2019-06-25,2104855.404024997
121,2019-06-26,2120269.9549849965
122,2019-06-27,2134517.580514997
123,2019-06-28,2149835.2191199963
124,2019-07-01,2173221.3024049965
125,2019-07-02,2172497.0063799964
126,2019-07-03,2179644.2175299963
127,2019-07-05,2174974.7153449967
128,2019-07-08,2145900.0298049957
129,2019-07-09,2157934.9881149963
130,2019-07-10,2159667.5206099963
131,2019-07-11,2156286.8749499954
132,2019-07-12,2191542.622474996
133,2019-07-15,2183836.714699996
134,2019-07-16,2185831.8571749963
135,2019-07-17,2150146.412424997
136,2019-07-18,2155382.485619996
