,a2c,ddpg,td3,ppo,sac,mvo
2019-01-02,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2012918.8668272812
2019-01-03,1999168.3675000002,1997261.9045,1996503.3465000002,1999893.82021,1997218.0505000001,1933032.6701963076
2019-01-04,2001628.6326850005,2003792.1564999998,2006075.4105000005,2000138.262835,2004895.4660000002,2020266.0049789795
2019-01-07,2003474.7988400005,2005401.7655,2008914.0665000007,2000205.5140249997,2005130.9495000003,2045610.3893740796
2019-01-08,2003743.5745550008,2006670.0990000002,2015543.2390000008,2000292.0237799997,2011766.3850000007,2083808.8996001177
2019-01-09,2003922.5045750004,2009756.2684999998,2017669.5750000002,2000376.2425499994,2015152.9845000005,2086322.4244908295
2019-01-10,2005955.3850200004,2011938.1249999998,2023971.6920000003,2000461.1927599993,2019263.2400000005,2097333.528084336
2019-01-11,2005454.0446550008,2010346.7959999999,2025377.2785000002,2000437.9557749995,2019069.1485000006,2094487.6270347834
2019-01-14,2004316.3488850005,2011550.5775,2023912.7600000002,2000348.4003499995,2019807.0670000007,2080949.4440584779
2019-01-15,2005379.2631600003,2013522.281,2033055.3290000004,2000528.6304349995,2030795.9360000007,2104295.5177336205
2019-01-16,2009151.3974449998,2027047.8724999998,2041170.3865000003,2000627.2304299993,2038921.1915000007,2101843.885731806
2019-01-17,2012279.032275,2034680.7855,2057363.0350000001,2000858.8054249992,2051362.0380000006,2126610.684966309
2019-01-18,2015890.7741599993,2048627.3495000002,2078536.9445000004,2001344.589829999,2074082.316500001,2154194.99071393
2019-01-22,2005180.0448349994,2028808.3305000002,2049336.9690000003,2000548.073934999,2053147.6460000009,2104206.401295959
2019-01-23,2005577.266789999,2031073.0720000004,2049999.1140000003,2000451.4686199995,2052853.7785000007,2106948.1782792574
2019-01-24,2009535.3639499992,2035977.7310000004,2051928.2330000002,2000951.9667049993,2048942.9195000008,2111996.9391285335
2019-01-25,2014226.978604999,2052316.2250000006,2078826.3814800002,2000752.6280599993,2071319.1890000007,2149700.6943258056
2019-01-28,2007188.1361099984,2036885.2070000004,2068007.8214800004,2000197.015599999,2065244.7575000008,2121104.7414318807
2019-01-29,2003384.890129998,2031421.6415000004,2063951.6614800002,1999987.179439999,2057986.9265000008,2110934.230899996
2019-01-30,2014426.2493199976,2049654.2265000006,2125873.42148,2001242.2590699992,2102126.307590001,2212676.2018120703
2019-01-31,2036705.5374999978,2071608.3305000006,2138876.6614800002,2001627.435634999,2103164.9514800007,2243334.176736816
2019-02-01,2033144.1282649976,2074690.8845000006,2137743.22148,2001479.2125349988,2105684.676730001,2220131.5319875274
2019-02-04,2038725.3433999973,2094598.3640000005,2161025.22148,2001946.162929999,2133312.420450001,2236312.1324057477
2019-02-05,2049995.831284997,2107579.861315001,2187688.42148,2002428.6426799991,2154196.8181250007,2255885.934622412
2019-02-06,2046029.9137699972,2106151.7710500006,2188305.1414799998,2002386.631909999,2154584.152580001,2255221.116757947
2019-02-07,2031337.0884999968,2082426.0389950005,2161649.1414799998,2001347.181984999,2136056.503315001,2223283.488355697
2019-02-08,2019782.3267249973,2071075.5144450006,2149499.6614800002,2000807.2928199994,2127130.4768850007,2216894.7069141995
2019-02-11,2026195.896814997,2079981.3980100006,2150491.50148,2001045.0940099994,2126211.0384850004,2215399.664921223
2019-02-12,2043951.4978099968,2118870.606675001,2184560.1414799998,2002960.8307699997,2165436.5670400006,2255333.264009161
2019-02-13,2055988.221424997,2135853.192120001,2189166.7814800004,2003644.0632949995,2165895.375525001,2260813.893564958
2019-02-14,2041078.617199997,2104343.8681450007,2176423.42148,2001787.6940149995,2149633.7320250003,2245102.5962414183
2019-02-15,2051377.4611649967,2136914.353425001,2213996.62148,2003328.5056499992,2192297.756040001,2274042.48655322
2019-02-19,2053855.0187299969,2139452.7277500005,2212613.18148,2003613.7624099993,2191449.487315001,2278445.4485060386
2019-02-20,2055708.6172999968,2145789.8525150004,2227496.42148,2003743.6346899988,2207924.4529550006,2288987.3204413606
2019-02-21,2048898.247509997,2140228.9243600005,2212077.38148,2003402.844979999,2193587.3784750006,2275873.0368078463
2019-02-22,2061099.7076049973,2158139.4718300006,2228949.02148,2004340.7802599985,2210096.4842500007,2297860.0050355587
2019-02-25,2082420.0831349972,2176316.529825001,2244670.82148,2005280.7021199984,2219349.072895001,2308441.8934761835
2019-02-26,2077387.2822949965,2171103.304395001,2239330.1414799998,2005170.0609049983,2218539.6671950007,2302245.0967273437
2019-02-27,2090706.409214997,2182530.400410001,2261282.18148,2005099.7911649984,2241098.4066900006,2309207.4336603964
2019-02-28,2073164.6506399969,2167099.275585001,2260765.0614799997,2004518.7623299987,2248160.2190550007,2311832.292170957
2019-03-01,2078569.8067199967,2173791.3800550005,2271665.6614800002,2005248.0809249987,2256551.9108200013,2331257.407934461
2019-03-04,2086963.6750049968,2168623.245100001,2260425.26148,2005987.4603849985,2238476.394630001,2325351.757514256
2019-03-05,2066059.720699997,2148059.4694250007,2250392.06148,2005027.9408099987,2231675.6067300006,2317045.200873322
2019-03-06,2028666.1850299966,2119245.552850001,2222754.22148,2003644.4326399988,2213220.412200001,2292035.3456362654
2019-03-07,2022407.7339549966,2096734.8179850008,2206191.7414800003,2001779.1205399989,2190813.201415001,2263352.597571778
2019-03-08,2028682.6737949965,2103157.0230350005,2208474.98148,2002034.619619999,2192647.285660001,2264361.7080325205
2019-03-11,2067676.8837149963,2145532.4051100006,2195024.34148,2005111.485844999,2174632.078760001,2277349.8607496694
2019-03-12,2065843.3895899963,2149922.7551100007,2158526.1414799998,2005291.4186099994,2144793.7186150006,2255291.991792828
2019-03-13,2090705.3747749962,2171385.0751100006,2178609.34148,2006795.6894449997,2164864.1208800008,2266234.8143806495
2019-03-14,2097347.8407899966,2177649.9551100004,2179163.26148,2006198.8345949994,2167000.4734350005,2255632.267225457
2019-03-15,2100112.678834996,2186243.4151100004,2194990.10148,2007841.8358199995,2180235.015965001,2278057.713567483
2019-03-18,2119944.719044997,2205044.8151100003,2197903.7414800003,2008597.6705999996,2188399.816335001,2280888.2028503916
2019-03-19,2117363.274639996,2195290.3251100006,2199202.7014800003,2008799.9879549998,2183627.2607200006,2311682.885873985
2019-03-20,2106039.1699449965,2164578.105110001,2179779.38148,2008196.9133499998,2154228.2119700005,2313746.070546027
2019-03-21,2119315.6216199966,2178450.4151100004,2178003.42148,2009941.7544199997,2164605.9222300006,2344161.2932898076
2019-03-22,2061710.3045249963,2110507.875110001,2116140.1414799998,2005630.4193199994,2100372.338860001,2282353.8474589707
2019-03-25,2052749.4854399965,2101998.2451100005,2121169.9014800005,2004869.0033999993,2100149.208085001,2284884.6638218528
